Rank,First_Name,Last_Name,Sex,Age,State,Time,Race,Race
1,Michael,Alexander,M,50-54,FL,01:02:29.000,87.912,Bartow Blarney Triathlon
2,Mark,Hulbert,M,50-54,FL,01:04:06.000,85.695,Bartow Blarney Triathlon
3,Brian,Durden,M,35-39,FL,01:05:30.000,83.863,Bartow Blarney Triathlon
4,Rodney,Carter,M,40-44,FL,01:05:54.000,83.354,Bartow Blarney Triathlon
5,James,Hooppaw,M,25-29,FL,01:06:10.000,83.018,Bartow Blarney Triathlon
6,Alexander,Williams,M,35-39,FL,01:06:31.000,82.582,Bartow Blarney Triathlon
7,Benjamin,Peacock,M,20-24,FL,01:07:12.000,81.742,Bartow Blarney Triathlon
8,Joel,Radd,M,30-34,FL,01:08:02.000,80.741,Bartow Blarney Triathlon
9,KC,Wilson,M,25-29,FL,01:09:14.000,79.341,Bartow Blarney Triathlon
10,Andrew,Martin,M,50-54,FL,01:11:41.000,76.63,Bartow Blarney Triathlon
11,David,Giles,M,55-59,FL,01:11:57.000,76.345,Bartow Blarney Triathlon
12,Kristin,Coker,F,40-44,FL,01:12:12.000,83.689,Bartow Blarney Triathlon
13,Peter,Boncelet,M,60-64,FL,01:13:27.000,74.786,Bartow Blarney Triathlon
14,Nicole,Brown,F,40-44,FL,01:13:50.000,81.838,Bartow Blarney Triathlon
15,Dennis,Thompson,M,65-69,FL,01:13:55.000,74.314,Bartow Blarney Triathlon
16,alejandro,caribas,M,50-54,FL,01:14:06.000,74.13,Bartow Blarney Triathlon
17,Sean,Brown,M,45-49,FL,01:14:49.000,73.42,Bartow Blarney Triathlon
18,Dylan,St. Ours,M,25-29,FL,01:15:04.000,73.176,Bartow Blarney Triathlon
19,Kathy,Ritchie,F,35-39,FL,01:15:23.000,80.155,Bartow Blarney Triathlon
20,Patty,Schmaedeke,F,50-54,FL,01:17:03.000,78.421,Bartow Blarney Triathlon
1,Benjamin,Hartell,M,30-34,FL,00:52:59.000,83.921,College of the Florida Keys Sprint Triathlon/Biathlon
2,John,Wile,M,30-34,FL,00:54:46.000,81.189,College of the Florida Keys Sprint Triathlon/Biathlon
3,Barton,Smith,M,40-44,FL,00:56:26.000,78.791,College of the Florida Keys Sprint Triathlon/Biathlon
4,Matthew,Weber,M,25-29,GA,00:57:00.000,78.008,College of the Florida Keys Sprint Triathlon/Biathlon
5,Ericka,Stokes,F,30-34,FL,01:01:05.000,80.072,College of the Florida Keys Sprint Triathlon/Biathlon
6,Joseph,Crispino,M,55-59,NY,01:04:25.000,69.026,College of the Florida Keys Sprint Triathlon/Biathlon
7,Steven,Jaroszewski,M,60-64,FL,01:04:29.000,68.955,College of the Florida Keys Sprint Triathlon/Biathlon
8,Michael,Sutter,M,45-49,IN,01:05:50.000,67.541,College of the Florida Keys Sprint Triathlon/Biathlon
9,Nicholas,Tamble,M,45-49,MN,01:08:26.000,64.975,College of the Florida Keys Sprint Triathlon/Biathlon
10,Savannah,Young,F,25-29,GA,01:10:20.000,69.541,College of the Florida Keys Sprint Triathlon/Biathlon
11,Casey,Hartell,F,30-34,VA,01:12:42.000,67.277,College of the Florida Keys Sprint Triathlon/Biathlon
12,Alice,Watrobka,F,65-69,IL,01:18:25.000,62.373,College of the Florida Keys Sprint Triathlon/Biathlon
13,Makayla,Bullard,F,20-24,FL,01:22:17.000,59.442,College of the Florida Keys Sprint Triathlon/Biathlon
14,Brian,Woodford,M,40-44,FL,01:25:16.000,52.147,College of the Florida Keys Sprint Triathlon/Biathlon
15,Webb,Moore,M,60-64,VA,01:30:49.000,48.961,College of the Florida Keys Sprint Triathlon/Biathlon
16,Melissa,Wagner,F,50-54,TN,01:39:52.000,48.976,College of the Florida Keys Sprint Triathlon/Biathlon
17,Mickayla,Woodford,F,5-9,FL,01:51:57.000,43.69,College of the Florida Keys Sprint Triathlon/Biathlon
18,Micki,Woodford,F,45-49,FL,01:52:14.000,43.58,College of the Florida Keys Sprint Triathlon/Biathlon
1,Dawn,Fontana,F,45-49,FL,15:07:39.000,95.357,Florida Ultra Week
2,Matthew,Weathers,M,35-39,SC,16:00:29.000,81.919,Florida Ultra Week
3,Rick,Shea,M,45-49,FL,16:12:39.000,80.895,Florida Ultra Week
4,Brad,Baker,M,35-39,PA,16:54:49.000,77.533,Florida Ultra Week
5,Chelsea,Shea,F,50-54,FL,17:10:20.000,84.003,Florida Ultra Week
6,Karen,Alexeev,F,65-69,FL,17:24:00.000,82.903,Florida Ultra Week
7,Sandra,Marino,F,50-54,FL,17:34:36.000,82.07,Florida Ultra Week
8,Adelaida,Bereijo,F,50-54,FL,28:30:50.000,50.59,Florida Ultra Week
9,Sebastain,Golod,M,45-49,FL,DNF,,Florida Ultra Week
1,Zack,Goodman,M,25-29,MD,01:03:05.000,100.387,UCSB Kendra's Race Triathlon
2,Dustin,Duncan,M,20-24,CA,01:04:02.000,98.897,UCSB Kendra's Race Triathlon
3,Jake,Tennant,M,20-24,CA,01:04:36.000,98.03,UCSB Kendra's Race Triathlon
4,Mark,Hermes,M,25-29,CA,01:05:19.000,96.954,UCSB Kendra's Race Triathlon
5,Calum,Rickard,M,25-29,CA,01:05:58.000,95.999,UCSB Kendra's Race Triathlon
6,Kyle,Visin,M,35-39,CA,01:06:21.000,95.444,UCSB Kendra's Race Triathlon
7,Joey,Costello,M,20-24,MI,01:06:45.000,94.872,UCSB Kendra's Race Triathlon
8,Paul,Lathrop,M,20-24,MD,01:07:22.000,94.004,UCSB Kendra's Race Triathlon
9,Robby,Dorn,M,25-29,MN,01:08:27.000,92.516,UCSB Kendra's Race Triathlon
10,Gregory,Aitken,M,20-24,CA,01:08:58.000,91.823,UCSB Kendra's Race Triathlon
11,Jesse,Holt,M,25-29,CA,01:09:15.000,91.447,UCSB Kendra's Race Triathlon
12,Rory,Runser,M,25-29,CA,01:09:18.000,91.381,UCSB Kendra's Race Triathlon
13,Eric,Wayman,M,20-24,CA,01:09:24.000,91.25,UCSB Kendra's Race Triathlon
14,ALBERTO,CARRENO,M,30-34,CA,01:09:32.000,91.075,UCSB Kendra's Race Triathlon
15,Bradley,Rava,M,25-29,CA,01:10:45.000,89.509,UCSB Kendra's Race Triathlon
16,Beril,Polat,F,25-29,CA,01:11:03.000,98.044,UCSB Kendra's Race Triathlon
17,Eric,Ingrande,M,20-24,CA,01:11:03.000,89.131,UCSB Kendra's Race Triathlon
18,Dario,Urbina Melendez,M,25-29,CA,01:11:10.000,88.984,UCSB Kendra's Race Triathlon
19,Alexander,Bosch,M,20-24,CA,01:11:24.000,88.694,UCSB Kendra's Race Triathlon
20,Elena,Galbally,F,25-29,CA,01:11:36.000,97.291,UCSB Kendra's Race Triathlon
1,John ,Reback,M,50-54,FL,00:54:55.000,99.617,Las Olas Fort Lauderdale Triathlon
2,javier,morales,M,35-39,fl,00:54:57.000,99.557,Las Olas Fort Lauderdale Triathlon
3,Roughan ,Gaetz,M,15-19,NL,00:55:28.000,98.629,Las Olas Fort Lauderdale Triathlon
4,Rodrigo,Teixeira de Abreu,M,40-44,FL,00:57:07.000,95.78,Las Olas Fort Lauderdale Triathlon
5,Carla,Moreno,F,40-44,FL,00:58:36.000,102.692,Las Olas Fort Lauderdale Triathlon
6,Eduardo,Figueiredo,M,40-44,FL,00:59:36.000,91.789,Las Olas Fort Lauderdale Triathlon
7,Jasmel,Acosta,M,35-39,FL,00:59:48.000,91.482,Las Olas Fort Lauderdale Triathlon
8,wilman,santa cruz,M,45-49,FL,00:59:57.000,91.254,Las Olas Fort Lauderdale Triathlon
9,Ragnar,Mendez,M,35-39,FL,00:59:59.000,91.203,Las Olas Fort Lauderdale Triathlon
10,Gabriel,Zimeri,M,25-29,FL,01:00:15.000,90.799,Las Olas Fort Lauderdale Triathlon
11,Kayla,Pokorny,F,30-34,FL,01:00:35.000,99.33,Las Olas Fort Lauderdale Triathlon
12,IDALMIS,PEDRERO,F,40-44,FL,01:00:35.000,99.33,Las Olas Fort Lauderdale Triathlon
13,Flavio,Jose,M,40-44,FL,01:01:30.000,88.954,Las Olas Fort Lauderdale Triathlon
14,Justin,Griffee,M,40-44,FL,01:01:54.000,88.379,Las Olas Fort Lauderdale Triathlon
15,IVONNE,PEDRERO,F,45-49,FL,01:02:02.000,97.008,Las Olas Fort Lauderdale Triathlon
16,Taylor,Marks,M,20-24,FL,01:02:17.000,87.835,Las Olas Fort Lauderdale Triathlon
17,Carlos,Dolabella,M,55-59,FL,01:03:12.000,86.561,Las Olas Fort Lauderdale Triathlon
18,josue ,lain velilla,M,40-44,fl,01:03:18.000,86.424,Las Olas Fort Lauderdale Triathlon
